date,China_new_deaths,Germany_new_deaths,Japan_new_deaths,South_Korea_new_deaths,UK_new_deaths,USA_new_deaths,China_new_cases,Germany_new_cases,Japan_new_cases,South_Korea_new_cases,UK_new_cases,USA_new_cases
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,17,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,15,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
2020-01-10,0,0,0,,0,0,0,0,0,0,0,0
2020-01-11,1,0,0,,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2020-01-15,1,0,0,0,0,0,0,0,1,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,4,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,17,0,0,0,0,0
2020-01-19,1,0,0,0,0,0,136,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,19,0,0,1,0,0
2020-01-21,3,0,0,0,0,0,151,0,0,0,0,1
2020-01-22,11,0,0,0,0,0,140,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,97,0,0,0,0,0
2020-01-24,9,0,0,0,0,0,259,0,1,1,0,0
2020-01-25,15,0,0,0,0,0,441,0,0,0,0,1
2020-01-26,15,0,0,0,0,0,665,0,1,1,0,0
2020-01-27,25,0,0,0,0,0,787,0,0,1,0,3
2020-01-28,25,0,0,0,0,0,1753,1,1,0,0,0
2020-01-29,26,0,0,0,0,0,1466,3,3,0,0,0
2020-01-30,38,0,0,0,0,0,1740,0,4,0,0,0
2020-01-31,43,0,0,0,0,0,1980,1,3,3,2,1
2020-02-01,46,0,0,0,0,0,2095,2,1,5,0,1
2020-02-02,45,0,0,0,0,0,2590,1,4,3,0,1
2020-02-03,57,0,0,0,0,0,2812,1,1,0,0,3
2020-02-04,65,0,0,0,0,0,3237,2,0,1,0,0
2020-02-05,66,0,0,0,0,0,3872,0,5,2,0,0
2020-02-06,72,0,0,0,0,0,3727,0,0,5,0,1
2020-02-07,73,0,0,0,0,0,3160,1,0,1,1,0
2020-02-08,86,0,0,0,0,0,3418,1,0,0,0,0
2020-02-09,89,0,0,0,0,0,2607,0,0,1,1,0
2020-02-10,97,0,0,0,0,0,2974,0,0,2,0,0
2020-02-11,108,0,0,0,0,0,2490,0,0,1,4,1
2020-02-12,97,0,0,0,0,0,2028,2,0,0,0,0
2020-02-13,254,0,1,0,0,0,15141,0,4,0,1,1
2020-02-14,13,0,0,0,0,0,4156,0,1,0,0,1
2020-02-15,143,0,0,0,0,0,2538,0,8,0,0,0
2020-02-16,142,0,0,0,0,0,2007,0,14,1,0,0
2020-02-17,105,0,0,0,0,0,2052,0,7,1,0,0
2020-02-18,98,0,0,0,0,0,1890,0,0,1,0,0
2020-02-19,139,0,0,0,0,0,1750,0,7,15,0,0
2020-02-20,112,0,0,0,0,0,394,0,18,34,0,0
2020-02-21,118,0,0,1,0,0,891,0,9,75,0,1
2020-02-22,109,0,0,1,0,0,826,0,12,190,0,19
2020-02-23,98,0,0,3,0,0,647,0,27,256,0,0
2020-02-24,150,0,0,2,0,0,218,0,12,161,4,0
2020-02-25,70,0,0,1,0,0,515,0,0,130,0,18
2020-02-26,52,0,0,3,0,0,410,2,20,254,0,0
